Job_Title,Company_Name,Location,Summary,Days_Posted_Ago
Data Scientist,Angel Broking Limited,Mumbai City,Expertise or extensive experience with Python/ R -programming A thorough understanding of SQL databases Excellent technical abilities statistics and machine-learning optimization skills; knowledge of big data insightful data visualization capability,"Apr 30, 2020"
Data Scientist,Bprise,Mumbai City,"& The Data Scientist will have a deep understanding of statistical and predictive modelling concepts, machine learning approaches, clustering and classification techniques and recommendations & optimization algorithms. The Data Scientist","Apr 30, 2020"
AI Developer/ Data Scientist,OPEXAI BUSINESS CONSULTING LLP,Mumbai City,"About the Job: Selected Candidate's day - to - day responsibilities include: Build scalable , available , and supportable processes to collect , manipulate , present , and analyze large","Apr 30, 2020"
Data Scientist,Denave India Pvt Ltd.,Mumbai City,"The role requires deep knowledge in designing , planning , testing and deploying analytics solutions including the following: Advanced Semantic Design , Information Extraction , Information Retrieval , Probabilistic Decision","Apr 30, 2020"
"Machine Learning , Data Scientist",Maestro Placement Consultancy Services,Mumbai City,"Job Description Job Purpose : Provides deep technical Big Data and Machine Learning expertise to business vertical across the organization , governing the technical and methodology approach to solving Business","Apr 29, 2020"
Data Scientist,In2M Technologies Pvt Ltd,Mumbai City,Job Description: Finicity s Data Innovation Lab is currently seeking a Senior Data Scientist to join our rapidly growing team. The Data Lab is focused on applied research that can,"Apr 28, 2020"
Data Science Machine Learning Engineering manager,CareerXperts Consulting,Mumbai City,We are looking for Engineering Managers to tackle difficult problems in the areas of data science and distributed systems of cloud- scale. This is a tremendous opportunity to build and,"May 01, 2020"
Data Scientist,The Talent GPS,Mumbai City,"Core Personalisation algorithms From understanding how to gather the data for cold-start recommendations, to collaborative filtering models, to the incorporation of feedback so that the re-sellers are able to drive","Apr 28, 2020"
Data Scientist,ALLERIN TECHNOLOGIES Pvt Ltd.,Navi Mumbai,Data Scientist Career - Data Analytics Companies Allerin Type a word and press [enter] We are looking for a Data Scientist that will help us discover the information hidden in,"Apr 26, 2020"
Data Scientist II,"General Mills, Inc.",Mumbai City,Data Scientist II Overview & Responsibilities Job Overview General Mills is seeking a Data Scientist to join a new data science team in the Global Business Solutions (shared services organization),"Apr 25, 2020"
