Job_Title,Company_Name,Location,Summary,Days_Posted_Ago
Team Lead - General Accounting,Colgate-Palmolive,"Mumbai, Maharashtra","Respond promptly to miscellaneous data requests and audits, run matching engines and upload statements.
Relocation Assistance Offered Within Country.",7 days ago
[ServiceNow developer] Technology Specialist Applications,Telstra,Maharashtra,"Supporting the design and development of requirements for the CMDB with automated processes for gathering and populating CMDB data.
What can we offer you?",Just posted
Server Side Data Scientist + Python Developer + IIT,Quantsapp Private Limited.,"Andheri, Mumbai, Maharashtra","Deploy websockets, rest api's & dynamic tcp, udp based data flow.
Quantsapp is India's first Option Trading Analytics platform on mobile.",6 days ago
Data Scientist,NOVIQUE HEALTH,"Mumbai, Maharashtra","Complex data domains, especially: natural language, health data e.g. insurance claims.
Our innovations in nutritional biochemistry, data science and digital…",30+ days ago
Data Analyst,Cognizant,"Mumbai, Maharashtra",Individuals in this role perform data entry of data received from Source documents into the respective Clinical/Safety database While peroforming this activity…,8 days ago
Chief Data Science officer,RedLotus,"Mumbai, Maharashtra","Responsible for areas such as data quality, data governance, master data management, information strategy, data science, and business analytics.",30+ days ago
Data Scientist,Angel broking,"Andheri, Mumbai, Maharashtra","Define unstructured data needs, evaluate data quality, and extract/transform data.
Data science programming languages and big data tools including R, Python,…",30+ days ago
Data Scientist / Analyst,Adoro,"Mumbai, Maharashtra","Basic understanding of statistic and Experience manipulating large data sets through statistical software(ex R, Matlab etc).",30+ days ago
Data Scientist,Exeliq Consulting,"Kandivali, Mumbai, Maharashtra","Currently we are looking for a Senior Computer Vision Engineer who is passionate about the sphere of Big Data, Data Science and AI.",17 days ago
Pahrma/Science/Micro/Botany/Chemistry/Organic/Any Science Fi...,Saarathi Healthcare Pvt Ltd,"Mumbai, Maharashtra","All patients are to be entered in the software wherever applicable so that there is uniformity in data management.
Sending inventories and reports to the PL.",6 days ago
Data Scientist,Staffio HR,"Mumbai, Maharashtra","Has worked in a big data environment before alongside a big data engineering team (and data visualization team, data and business analysts).",2 days ago
Data Scientist,Directi,"Mumbai, Maharashtra","4+ years of experience working in data science or business analytics role.
Work with a team of high performing data science professionals, and cross-functional…",8 days ago
Associate Scientist Regulatory Affairs; Life Cycle Managemen...,Procter & Gamble,"Mumbai, Maharashtra","Procter & Gamble is one of the largest FMCG (Fast Moving Consumer Goods) company in the world with strong brands like Pampers, Ariel, Always, Gillette and Oral…",17 days ago
Scientific Writer - Publications,Cactus Communications,"Mumbai, Maharashtra","Excellent data interpretation and presentation skills.
Proven skills in writing and editing documents and interpretation and summarization of complex clinical…",30+ days ago
Online Python Trainer (Female candidates only),Whitehat Education Technology Pvt. Ltd.,"Mumbai, Maharashtra","You'll teach students aged 15-18 coding (algorithms, data structure).
WhiteHat Jr* was created to solve the #1 gap in the global school system today.",30+ days ago
Analyst - Analytics,Colgate-Palmolive,"Mumbai, Maharashtra","Experience with third-party data i.e., syndicated market data, Point of Sales, etc.
Update and manage master data sets.
Become part of our team.",15 days ago
Assistant Manager - Analytics,Colgate-Palmolive,"Mumbai, Maharashtra","Experience with third-party data i.e., syndicated market data, Point of Sales, etc.
Mine data through various technologies like BigQuery and SQL.",30+ days ago
Team Lead - General Accounting,Colgate-Palmolive,"Mumbai, Maharashtra","Respond promptly to miscellaneous data requests and audits, run matching engines and upload statements.
Relocation Assistance Offered Within Country.",7 days ago
