Job_Title,Company_Name,Location,Summary,Days_Posted_Ago,Experience
Online Python Trainer (Female candidates only),Whitehat Education Technology Pvt. Ltd.,"Mumbai, Maharashtra","You'll teach students aged 15-18 coding (algorithms, data structure).
WhiteHat Jr* was created to solve the #1 gap in the global school system today.",30+ days ago,"Mumbai, MaharashtraFull-time, Part-time, Contract, Commission, Volunteer, Fresher₹30,000 - ₹50,000 a month"
Executive - Data Scientist,Nielsen,"Mumbai, Maharashtra","Exceptional aptitude for data analysis.
Data science drives everything we do here at Nielsen.
Today’s data is tomorrow’s marketplace revelation.",Today,"Mumbai, Maharashtra3+ years experienceSkillsMicrosoft AccessVisual BasicBig DataPythonSQLR"
Jr. Data Scientist,i3Systems,"Mumbai, Maharashtra","Machine learning models or data processing techniques.
Unstructured data in the form of images, text, documents etc.
It is well-known among.",14 days ago,"Mumbai, MaharashtraFull-time, Walk-In₹6,00,000 - ₹10,00,000 a year1+ years experienceSkillsRelational DatabasesNatural Language ProcessingMachine LearningAngularPythonDjangoHadoopMySQLSparkGitAI"
Chief Data Science officer,RedLotus,"Mumbai, Maharashtra","Responsible for areas such as data quality, data governance, master data management, information strategy, data science, and business analytics.",30+ days ago,"Mumbai, Maharashtra15+ years experienceSkillsProject ManagementMachine Learning"
Associate - Data Science,TATA Capital,"Mumbai, Maharashtra","? Publishing of Regular Portfolio Performance Deck and regular dashboards.
? Automation of existing dashboards using SAS / Python / SQL / Tableau.",30+ days ago,"Mumbai, Maharashtra5+ years experienceSkillsTableauSQL"
Program Executive (Science Graduates),KHPL,"Mumbai, Maharashtra","Data entry and updating of patient data base.
Data Entry and Telephonic Calling *.
Effective communication with patients / caregivers on the queries related to…",11 days ago,"Mumbai, Maharashtra₹15,000 - ₹20,000 a month1+ years experience"
Data Science Intern,Sankhkyiki Robotics,"Navi Mumbai, Maharashtra","Skill(s) required: data science, big data, analytics, statistics.
Work on different exercises on data science and machine learning algorithms.",30+ days ago,"Navi Mumbai, MaharashtraInternshipSkillsMachine Learning"
Capacity Planning Manager,Qweensnetwork,"Mumbai, Maharashtra","3+ years experience modeling data and/or statistical forecasting.
Modeling data and/or statistical forecasting: 3 years (Preferred).",Just posted,"Mumbai, Maharashtra₹25,00,000 - ₹35,00,000 a year3+ years experience"
Process Executive - Data,Cognizant,"Mumbai, Maharashtra","Graduate/Post Graduate/ Doctorate degree in life sciences/Pharmacy/Medical sciences/Registered Nurse.
For PV/Complaints Management Individuals in this role…",13 days ago,"Mumbai, Maharashtra"
Events Analyst,Games2win,"Mumbai, Maharashtra","Work with the Analytics team to understand data points, required.
Experience Required: Fresher or 0.5 to 1+ Years of Experience.
What would you need to do?",Today,"Mumbai, Maharashtra"
Data Science Optimization,Tata Insights and Quants,"Mumbai, Maharashtra","3+ year of work experience in optimization, simulation and data science.
Contributing to Community through big data:
Tata Insights and Quants – Journey to Date.",30+ days ago,"Mumbai, Maharashtra3+ years experience"
Assistant Manager - Analytics,Colgate-Palmolive,"Mumbai, Maharashtra","Experience with third-party data i.e., syndicated market data, Point of Sales, etc.
Mine data through various technologies like BigQuery and SQL.",30+ days ago
Back Office Executive - Freshers or Max 2 Years Experience,Novus Life Sciences Pvt. Ltd.,"Andheri, Mumbai, Maharashtra","9. Recording the data in Excel.
Back Office Assistant Executive - Good English Speaking & Writing Skills is a must.*.
1. Making Spreadsheets on Excel.",30+ days ago
Artificial Intelligence - NLP - Engineer,Emotix Miko,"Dadar, Mumbai, Maharashtra","In this role, we expect you to have a data science.
Miko is a Mumbai based advanced consumer robotics innovation lab passionate about bringing the.",Today
"Communications Planning Manager, India",Facebook,"Mumbai, Maharashtra","Experience working in data-driven environments.
Experience pulling insights from data and tell a story using those insights.",30+ days ago
Data Scientist,Angel broking,"Andheri, Mumbai, Maharashtra","Define unstructured data needs, evaluate data quality, and extract/transform data.
Data science programming languages and big data tools including R, Python,…",30+ days ago
Associate Analyst,Johnson & Johnson Family of Companies,"Mumbai, Maharashtra","Ensure that respective guidelines on data integrity and laboratory control processes are followed as per established SOPs.
Are you ready to impact the world?",1 day ago
Web Development part time job/internship at Navi Mumbai,iAastha,"Navi Mumbai, Maharashtra","Researching the industry, data mining, and analysis for product development 2.
We are a team of experienced minds with fresh perspectives to change the…",Today
Python Development part time job/internship at Mumbai,Merilent Interactive,"Mumbai, Maharashtra","Note: Interns will gain an understanding of deep learning frameworks such as Caffe, TensorFlow, and Torch and get to work with big data technologies (e.g. Spark…",19 days ago
Capacity Planning Manager,Qweensnetwork,"Mumbai, Maharashtra","3+ years experience modeling data and/or statistical forecasting.
Modeling data and/or statistical forecasting: 3 years (Preferred).",Just posted
Data Engineer II / Sr Data Engineer,Colgate-Palmolive,"Mumbai, Maharashtra","Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.
The Data Engineer will support our software developers, data analysts…",Just posted
Data Science,lemark institute of art,"Mumbai, Maharashtra","Strong experience working with Geospatial data.
DataRobot is based around delivering best-in-class data science solutions and this position provides the…",30+ days ago
SQL Development & Analytics Internship,IGSRS,"Mumbai, Maharashtra","We at Alchemus offer a suite of cloud computing services that make up an on-demand computing platform.
These services operate from 12 geographical regions…",4 days ago
Work from home- PHP Developer- Immediate,Aarav Infotech India Pvt. Ltd.,"Andheri, Mumbai, Maharashtra","Import/export data to FTP servers.
Migrate data from exiting application to new application.
Aarav Infotech is seeking a talented full time PHP developer with a…",21 days ago
PHP Laravel Developer,DigiXHub,"Mumbai, Maharashtra","Utilize backend data services and contribute to increase existing data services API.
Since our inception in 2013, Jags Technologies has been delivering software…",2 days ago
Online Python Trainer (Female candidates only),Whitehat Education Technology Pvt. Ltd.,"Mumbai, Maharashtra","You'll teach students aged 15-18 coding (algorithms, data structure).
WhiteHat Jr* was created to solve the #1 gap in the global school system today.",30+ days ago
Online Python Trainer (Female candidates only),Whitehat Education Technology Pvt. Ltd.,"Mumbai, Maharashtra","You'll teach students aged 15-18 coding (algorithms, data structure).
WhiteHat Jr* was created to solve the #1 gap in the global school system today.",30+ days ago
PHP Laravel Developer,DigiXHub,"Mumbai, Maharashtra","Utilize backend data services and contribute to increase existing data services API.
Since our inception in 2013, Jags Technologies has been delivering software…",2 days ago
Work from home- PHP Developer- Immediate,Aarav Infotech India Pvt. Ltd.,"Andheri, Mumbai, Maharashtra","Import/export data to FTP servers.
Migrate data from exiting application to new application.
Aarav Infotech is seeking a talented full time PHP developer with a…",21 days ago
Associate Manager Business Analyst,Procter & Gamble,"Mumbai, Maharashtra",Overall work would be a good mix of delivering today (70-80% time/capacity) and crafting tomorrow (20-30% on innovation/data science projects).,8 days ago
Data Analyst,Institutional Shareholder Services Inc,"Mumbai, Maharashtra",Attend to internal/client queries and requests to ensure data captured is aligned with data methodology and policy guidelines.,30+ days ago
