Job_Title,Company_Name,Location,Summary,Days_Posted_Ago,Experience,Skills
Data Scientist,BigTree Entertainment,Mumbai City,"Should have working knowledge of relational Database designs (SQL Server, MySQL, Oracle). Should have knowledge of Queue management systems (Redis, MSMQ, RabitMQ etc). Should have knowledge of SQL query, Stored","May 20, 2020",2 to 5 Yrs,"Skills :sql, msmq, mysql, redis, writing"
Product Manager Discovery & Personalization,Saavn Media Pvt Ltd,Mumbai City,"ROLE JioSaavn is seeking a Product Manager to join our core Product team. You ll work closely with PMs, engineers, and data teams to build and improve our personalization and","May 20, 2020",2 to 5 Yrs,"Skills :data analysis, data modeling, 
                                                            big data, 
                                                            computer science, data science"
Data Engineer,The Talent GPS,Mumbai City,"Looking for a rock star Software Engineer having good hands- on experience in Machine Learning, that helps in increasing the speed and performance of the product. Roles & Responsibilities Work","May 16, 2020",1 to 6 Yrs,"Skills :data warehousing, 
                                                            big data, data science, data structures, data engineering"
Data Engineer,Maersk Global Service Centres India Pvt Ltd,Mumbai City,"We are establishing a world class Data Engineering Team in our Digital Centre in Bangalore to service Global Equipment, one of the fundamental departments in Maersk which is responsible for","May 11, 2020",3 to 5 Yrs,"Skills :data warehousing, 
                                                            big data, data science, data analytics, data solutions"
Data Scientist,ALLERIN TECHNOLOGIES Pvt Ltd.,Mumbai City,Data Scientist Career - Data Analytics Companies Allerin Type a word and press [enter] We are looking for a Data Scientist that will help us discover the information hidden in,"May 16, 2020",2 to 7 Yrs,"Skills :data analysis, 
                                                            big data, data mining, data science, data analytics"
Senior Data Scientist,Baker Hughes Incorporated,Mumbai City,"Role Summary: We are looking for a highly motivated individual, passionate about technology to join Baker Hughes Digital team. As the Senior Data Scientist, in Baker Hughes Digital, you will","Apr 24, 2020",3 to 8 Yrs,"Skills :data science, data quality, data analysis, data analytics, data cleansing"
Data Scientist/ML Engineer,Paytm,Mumbai City,The ML team within Paytm provides opportunities to innovate in a fast-paced organization that contributes to game-changing projects and technologies that get deployed on devices and the cloud. As an,"Apr 27, 2020",4 to 8 Yrs,"Skills :data analysis, data science, science, 
                                                            machine learning, 
                                                            python"
Sr Technical Product Manger,Saavn Media Pvt Ltd,Mumbai City,"ROLE JioSaavn is seeking a Technical Product Manager to join our core Product team. You ll work closely with PMs and engineers to help monitor, manage, and improve the","May 20, 2020",4 to 7 Yrs,"Skills :data analysis, 
                                                            computer science, data science, 
                                                            sql, 
                                                            test cases"
Data Scientist,BigTree Entertainment,Mumbai City,"What will you do: Should have working knowledge of relational Database designs (SQL Server, MySQL, Oracle). Should have knowledge of Queue management systems (Redis, MSMQ, RabitMQ etc). Should have knowledge","May 17, 2020",2 to 6 Yrs,"Skills :sql, msmq, mysql, redis, auditing"
Data Scientist,BigTree Entertainment,Mumbai City,"What will you do: Should have working knowledge of relational Database designs (SQL Server, MySQL, Oracle). Should have knowledge of Queue management systems (Redis, MSMQ, RabitMQ etc). Should have knowledge","May 17, 2020",2 to 7 Yrs,"Skills :sql, msmq, mysql, redis, auditing"
Technical Analyst - SQL Server,Codifyd,Mumbai City,"As a market leader in providing product data content solutions, we engage with our clients on projects to design and implement optimized product taxonomies and attributes using in-house and best-of-breed","May 15, 2020",2 to 5 Yrs,"Skills :data science, data analysis, data solutions, data structures, 
                                                            sql"
