Job_Title,Company_Name,Location,Summary,Days_Posted_Ago,Experience,Skills
Data Analyst  /  Data Science,"CANVAS27.com
     (More Jobs)","Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Pune,  Chandigarh","Job Description:
Common data science toolkits ,  such as Python or R ,  etc.Working knowledge of a query language SQL / MySQL Have successfully developed and deployed at least 3-4 Machine Lear... More Details",Posted a month ago,card_travel1 - 6 yrs,"r  ,  data analysis  ,  logistic regression  ,  sql  ,  data science  ,  python  ,  machine learning  ,  big data  ,  open source  ,  Big Data Analytics  ,  Business Analytics  ,  Business Intelligence"
Computer Operator,"Spot In Job Consultancy
     (More Jobs)","Mumbai,  Rajkot,  Faridabad","Job Description:
Job descriptionJob For Computer Operator in Atika Industrial Area Rajkot | SpotInJob Consultancy Job For Computer Operator in Atika Industrial Area Rajkot ,  Gujarat ,  IndiaY... More Details",Posted 1 day ago,card_travel2 - 7 yrs,"Administration  ,   PDF  ,  Computer operator  ,  Operations  ,  staffing  ,  Back office  ,  Office Administration"
Require Immediately--- Resident Medical Officer  /  RMO,"AIMS Hospital
     (More Jobs)",Mumbai,"Job Description:
Resident Medical Officer  ( RMO )  reports to the Chief Resident Medical Officer and Medical Director and plays a key role in building and maintaining relationships between th... More Details",Posted 2 days ago,card_travel1 - 6 yrs,"BAMS  ,  BHMS  ,  MBBS"
Dream Sports - SDE 2 / 3 - Data Science,Dream11,Mumbai,"Job Description:
Data Science at Dream11 comprises of enthusiastic young scientists thriving to derive value from data continuously. Data Science team focuses on product and user analytics by ... More Details",Posted today,card_travel4 - 7 yrs,"algorithms  ,  machine learning  ,  artificial intelligence"
Accounts Manager,"JDC Recruitment Services
     (More Jobs)","Ahmedabad,  Bengaluru / Bangalore,  Hyderabad/Secunderabad,  Kolkata,  Mumbai","Job Description:
Assist with financial reports such as balance sheets and income statements ,  invoices ,  and other documentsAssisting with research ,  filing ,  data entry ,  and recording a... More Details",Posted 2 days ago,card_travel4 - 7 yrs,"accounts  ,  Income-tax  ,  Accounting  ,  Financial Accounting  ,  Accounts Receivable  ,  Accounts Payable"
Mechanical Engineer,"JDC Recruitment Services
     (More Jobs)","Ahmedabad,  Bengaluru / Bangalore,  Hyderabad/Secunderabad,  Kolkata,  Mumbai","Job Description:
Create and develop ideas for new products.Modify existing products to increase efficiency and improve performanceThinking of possible design solutions which are practical and ... More Details",Posted 2 days ago,card_travel4 - 8 yrs,"Engineering  ,  Manufacturing  ,  Mechanical  ,  Design  ,  production  ,  project engineer  ,  executive engineer"
MIS Executive,"JDC Recruitment Services
     (More Jobs)","Bengaluru / Bangalore,  Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Pune","Job Description:
Proficiency with MS office tools. Excellent command on pivot ,  Macro ,  V-look up ,  Data Handling up and excel formulasChecking the correctness of the data. Arranging the da... More Details",Posted 2 days ago,card_travel3 - 6 yrs,"Ms-office  ,  Database  ,  Ms Access  ,  MIS  ,  mis executive"
Data Analyst  /  Data Science,"CANVAS27.com
     (More Jobs)","Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Pune,  Chandigarh","Job Description:
Common data science toolkits ,  such as Python or R ,  etc.Working knowledge of a query language SQL / MySQL Have successfully developed and deployed at least 3-4 Machine Lear... More Details",Posted a month ago,card_travel1 - 6 yrs,"r  ,  data analysis  ,  logistic regression  ,  sql  ,  data science  ,  python  ,  machine learning  ,  big data  ,  open source  ,  Big Data Analytics  ,  Business Analytics  ,  Business Intelligence"
MOH Saudi Arabia Skype Interviews For B.SC Technician.,"ALM INTERNATIONAL
     (More Jobs)","Delhi,  Delhi/NCR,  Hyderabad/Secunderabad,  Kolkata,  Mumbai","Job Description:
Greetings from ALM International.We have the MOH Saudi Arabia For Technician who are Working in the Department of Respiratory Therapy and Respiratory Care. The candidates must... More Details",Posted today,card_travel3 - 8 yrs,"Icu  ,  respiratory care  ,  respiratory therapy"
Computer Operator,"Spot In Job Consultancy
     (More Jobs)","Mumbai,  Rajkot,  Faridabad","Job Description:
Job descriptionJob For Computer Operator in Atika Industrial Area Rajkot | SpotInJob Consultancy Job For Computer Operator in Atika Industrial Area Rajkot ,  Gujarat ,  IndiaY... More Details",Posted 1 day ago,card_travel2 - 7 yrs,"Administration  ,   PDF  ,  Computer operator  ,  Operations  ,  staffing  ,  Back office  ,  Office Administration"
